Gene_Name,Product,Lineage,Tax ID,GO_Terms
trpE,Anthranilate synthase component 1,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
ogt,Methylated-DNA--protein-cysteine methyltransferase,,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
tdh_2,L-threonine 3-dehydrogenase,,2159,GO:0008743 (L-threonine 3-dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0050256 (ribitol-5-phosphate 2-dehydrogenase [(NAD(P)+] activity) [Confidence: IEA:InterPro]
ispD_2,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
upp,Uracil phosphoribosyltransferase,,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
tatD_2,Tat-linked quality control protein TatD,,2159,GO:0004536 (DNA nuclease activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
aqpM,Aquaporin AqpM,,2159,GO:0015267 (channel activity) [Confidence: IEA:InterPro]
ung,Uracil-DNA glycosylase,,2159,GO:0004844 (uracil DNA N-glycosylase activity) [Confidence: IEA:InterPro]
wtpC,Molybdate,,2159,GO:1901238 (ABC-type tungstate transporter activity) [Confidence: IEA:RHEA]; GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
metK,S-adenosylmethionine synthase,,2159,GO:0052855 (ADP-dependent NAD(P)H-hydrate dehydratase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0052856 (NAD(P)HX epimerase activity) [Confidence: IEA:UniProtKB-UniRule]
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
pdxY,Pyridoxamine kinase,,2159,GO:0008478 (pyridoxal kinase activity) [Confidence: IEA:UniProtKB-EC]
xseA,Exodeoxyribonuclease 7 large subunit,,2159,GO:0008855 (exodeoxyribonuclease VII activity) [Confidence: IEA:InterPro]; GO:0003676 (nucleic acid binding) [Confidence: IEA:InterPro]
xerA,Tyrosine recombinase XerA,,2159,GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0009037 (tyrosine-based site-specific recombinase activity) [Confidence: IEA:UniProtKB-UniRule]
queF,NADPH-dependent 7-cyano-7-deazaguanine reductase,,2159,GO:0033739 (preQ1 synthase activity) [Confidence: IEA:InterPro]
wtpB,Molybdate,,2159,No GO terms found
dapH_3,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-acetyltransferase,,2159,No GO terms found
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
rps7_2,30S ribosomal protein S7,,2159,No GO terms found
prfC,Peptide chain release factor 3,,2159,"GO:0016149 (translation release factor activity, codon specific) [Confidence: IEA:UniProtKB-UniRule]"
arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
rpoB_2,DNA-directed RNA polymerase subunit beta,,2159,GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-KW]; GO:0001066 (plastid single subunit type RNA polymerase activity) [Confidence: IEA:UniProtKB-EC]; GO:0032549 (ribonucleoside binding) [Confidence: IEA:InterPro]; GO:0001054 (RNA polymerase I activity) [Confidence: IEA:UniProtKB-EC]; GO:0001055 (RNA polymerase II activity) [Confidence: IEA:UniProtKB-EC]; GO:0001056 (RNA polymerase III activity) [Confidence: IEA:UniProtKB-EC]; GO:0001057 (RNA polymerase IV activity) [Confidence: IEA:UniProtKB-EC]; GO:0001058 (RNA polymerase V activity) [Confidence: IEA:UniProtKB-EC]
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
aglJ,Glycosyltransferase AglJ,,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
aqpM_1,Aquaporin AqpM,,2159,GO:0015267 (channel activity) [Confidence: IEA:InterPro]
ogt,Methylated-DNA--protein-cysteine methyltransferase,,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
trpE,Anthranilate synthase component 1,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
trpG,Anthranilate synthase component 2,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
trpD,Anthranilate phosphoribosyltransferase,,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
trpB,Tryptophan synthase beta chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpA,Tryptophan synthase alpha chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
upp,Uracil phosphoribosyltransferase,,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
ispD_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
arnC_3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
mltF,Membrane-bound lytic murein transglycosylase F,,2159,No GO terms found
malK_3,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
malK_1,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
mltF,Membrane-bound lytic murein transglycosylase F,,2159,No GO terms found
hcaB,3-phenylpropionate-dihydrodiol,,2159,No GO terms found
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
btuD_9,Vitamin B12 import ATP-binding protein BtuD,,2159,No GO terms found
trpA,Tryptophan synthase alpha chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpB,Tryptophan synthase beta chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpD,Anthranilate phosphoribosyltransferase,,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
trpG,Anthranilate synthase component 2,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
trpE,Anthranilate synthase component 1,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
upp,Uracil phosphoribosyltransferase,,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
ispD_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
tdh_2,L-threonine 3-dehydrogenase,,2159,GO:0008743 (L-threonine 3-dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0050256 (ribitol-5-phosphate 2-dehydrogenase [(NAD(P)+] activity) [Confidence: IEA:InterPro]
arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
tatD_2,Tat-linked quality control protein TatD,,2159,GO:0004536 (DNA nuclease activity) [Confidence: IEA:InterPro]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
ogt,Methylated-DNA--protein-cysteine methyltransferase,,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
lacZ,Beta-galactosidase,,2159,GO:0004565 (beta-galactosidase activity) [Confidence: IEA:UniProtKB-EC]; GO:0030246 (carbohydrate binding) [Confidence: IEA:InterPro]
tdh_1,L-threonine 3-dehydrogenase,,2159,GO:0008743 (L-threonine 3-dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]
ispD_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
upp,Uracil phosphoribosyltransferase,,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
tatD_1,Tat-linked quality control protein TatD,,2159,GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]; GO:0004518 (nuclease activity) [Confidence: IEA:UniProtKB-KW]
malK_1,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
hcaB,3-phenylpropionate-dihydrodiol,,2159,No GO terms found
ogt,Methylated-DNA--protein-cysteine methyltransferase,,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
mltF,Membrane-bound lytic murein transglycosylase F,,2159,No GO terms found
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
trpG,Anthranilate synthase component 2,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
trpE,Anthranilate synthase component 1,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
iolG,Inositol 2-dehydrogenase,,2159,GO:0000166 (nucleotide binding) [Confidence: IEA:InterPro]; GO:0016491 (oxidoreductase activity) [Confidence: IEA:UniProtKB-KW]
trpA,Tryptophan synthase alpha chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpB,Tryptophan synthase beta chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpD,Anthranilate phosphoribosyltransferase,,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
arnC_5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
mthTIM,Modification methylase MthTI,,2159,"GO:0051719 (DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates) [Confidence: IEA:UniProtKB-EC]; GO:0051720 (DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates) [Confidence: IEA:UniProtKB-EC]; GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-KW]"
btuD_14,Vitamin B12 import ATP-binding protein BtuD,,2159,No GO terms found
wecE,dTDP-4-amino-4%2C6-dideoxygalactose transaminase,,2159,No GO terms found
xerA_2,Tyrosine recombinase XerA,,2159,GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0009037 (tyrosine-based site-specific recombinase activity) [Confidence: IEA:UniProtKB-UniRule]
mfd,Transcription-repair-coupling factor,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-KW]; GO:0003678 (DNA helicase activity) [Confidence: IEA:TreeGrafter]; GO:0016787 (hydrolase activity) [Confidence: IEA:UniProtKB-KW]
ogt,Methylated-DNA--protein-cysteine methyltransferase,,2159,GO:0003908 (methylated-DNA-[protein]-cysteine S-methyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
trpE,Anthranilate synthase component 1,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]; GO:0046872 (metal ion binding) [Confidence: IEA:UniProtKB-KW]
trpG,Anthranilate synthase component 2,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
trpD,Anthranilate phosphoribosyltransferase,,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
trpB,Tryptophan synthase beta chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpA,Tryptophan synthase alpha chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
malK_1,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
mltF,Membrane-bound lytic murein transglycosylase F,,2159,No GO terms found
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
ispD_1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,2159,GO:0050518 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity) [Confidence: IEA:TreeGrafter]; GO:0047349 (D-ribitol-5-phosphate cytidylyltransferase activity) [Confidence: IEA:InterPro]
upp,Uracil phosphoribosyltransferase,,2159,GO:0005525 (GTP binding) [Confidence: IEA:UniProtKB-KW]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004845 (uracil phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]
arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
mthTIM,Modification methylase MthTI,,2159,"GO:0051719 (DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates) [Confidence: IEA:UniProtKB-EC]; GO:0051720 (DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates) [Confidence: IEA:UniProtKB-EC]; GO:0003677 (DNA binding) [Confidence: IEA:UniProtKB-KW]"
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,,2159,"GO:0051287 (NAD binding) [Confidence: IEA:InterPro]; GO:0016628 (oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor) [Confidence: IEA:InterPro]; GO:0089714 (UDP-N-acetyl-D-mannosamine dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]"
pnp,Polyribonucleotide nucleotidyltransferase,,2159,GO:0047847 (deoxyuridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]; GO:0004850 (uridine phosphorylase activity) [Confidence: IEA:UniProtKB-EC]
malK_1,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
msrB,Peptide methionine sulfoxide reductase MsrB,,2159,GO:0033743 (peptide-methionine (R)-S-oxide reductase activity) [Confidence: IEA:InterPro]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
